Yas,yil,sayi
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2015,392412
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2016,385668
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2017,457406
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2018,474635
01.45.11.01.03. (Koyun (Merinos)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2019,571018
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2004,395074
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2005,397048
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2006,435225
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2007,490386
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2008,498946
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2009,530483
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2010,610119
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2011,669507
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2012,826773
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2013,949433
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2014,1115571
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2015,1204799
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2016,1174450
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2017,1395621
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2018,1571370
01.45.11.01.04. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Dişi Koyun)),2019,1769822
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2004,30660
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2005,28146
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2006,29063
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2007,35214
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2008,31590
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2009,35255
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2010,34811
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2011,40392
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2012,48905
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2013,64383
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2014,93213
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2015,90351
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2016,90814
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2017,95600
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2018,107954
01.45.11.01.05. (Koyun (Merinos)  Canlı  2 Ve Daha Yukarı Yaşta (Koç)),2019,118522
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2004,2789948
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2005,2803896
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2006,2974476
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2007,3304170
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2008,3004311
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2009,2645237
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2010,2411961
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2011,2436064
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2012,2469474
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2013,2313625
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2014,3088674
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2015,2636208
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2016,2438309
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2017,1645815
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2018,1651902
01.45.11.02.01. (Koyun (Yerli Ve Diğerleri)  Canlı  6 Aydan Küçük (Dişi Ve Erkek)  Kuzu),2019,1669666
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2004,4591765
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2005,4440323
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2006,4404880
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2007,4361797
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2008,3854471
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2009,3296542
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2010,3248670
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2011,3743059
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2012,3821742
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2013,4004571
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2014,4036729
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2015,4035837
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2016,4063827
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2017,4075010
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2018,4423188
01.45.11.02.02. (Koyun (Yerli Ve Diğerleri)  Canlı  6 - 12 Ay Arası (Dişi Ve Erkek)  Toklu),2019,4943327
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2004,5071596
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2005,5116069
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2006,5144115
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2007,4925827
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2008,4721349
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2009,3800863
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2010,4196779
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2011,4357515
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2012,4674711
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2013,4835235
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2014,5346285
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2015,5222874
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2016,5189198
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2017,5924348
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2018,5410157
01.45.11.02.03. (Koyun (Yerli Ve Diğerleri)  Canlı  12 - 24 Ay Arası (Dişi Ve Erkek)  Şişek),2019,5525052
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2004,10931401
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2005,11224551
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2006,11272254
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2007,11056784
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2008,10517789
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2009,10232044
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2010,11488588
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2011,12551458
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2012,14124701
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2013,15397751
01.45.11.02.04. (Koyun (Yerli Ve Diğerleri)  Canlı  2 Ve Daha Yukarı Yaşta  Dişi Koyun),2014,15512747
